DrivingDistance,FinishedFair,FM
243.2,67,0
254.5,70.1,0
253.1,59.3,0
228.1,70.4,0
240.8,69.5,0
244,69,0
257.9,66.3,0
255.8,68.3,0
249.9,63.5,0
251.3,70.3,0
244.4,66,0
246.6,70.1,0
239.2,68.6,0
236.2,56.9,0
267.7,67.2,0
235.3,75.5,0
249.1,64.2,0
239.4,65.8,0
244.2,65.6,0
259.7,68.5,0
268.5,54.2,0
248.2,68.4,0
247.2,71.8,0
236.8,67.8,0
238.2,65.3,0
229.3,73.1,0
253.1,65.1,0
252,70.8,0
259.4,65.4,0
226.7,72.1,0
254.6,66.9,0
249,74,0
244.8,69.9,0
246.3,70.2,0
248.2,60.4,0
237.4,73.6,0
245.4,69.3,0
245.2,73.5,0
243.8,75.5,0
251.2,64.5,0
255.9,71.7,0
235.3,69.5,0
258.1,58.3,0
242.5,69.4,0
244.3,71,0
251,67.5,0
263.6,68.3,0
246.3,69.3,0
254.3,62.4,0
242.6,64.7,0
246.9,67.7,0
243.3,68.4,0
243.5,70.2,0
236.6,73.8,0
239.4,75.8,0
249.3,70.4,0
253.6,64.3,0
268,60.9,0
246.1,74.9,0
246.1,72.8,0
253.9,71.3,0
248.8,60.5,0
246.7,68.6,0
246.5,71.2,0
250.2,66.6,0
248.4,59.4,0
252,63.1,0
238.7,70.7,0
261.5,68.4,0
261.1,61,0
232.1,66.7,0
257.2,60.8,0
243,57.9,0
242.7,64.9,0
249.7,70.9,0
247,59.9,0
233.7,77.7,0
243.7,62.6,0
244,73.5,0
244,62.4,0
252.8,50.3,0
250.2,66,0
237.8,74.6,0
224.8,72.6,0
253.7,55.6,0
242.6,73.9,0
261.5,62.7,0
235.4,58.4,0
242.3,62.6,0
269.5,66,0
248.1,65.3,0
244.9,72.4,0
240.9,73.1,0
266.2,59.9,0
254.2,64.8,0
241.9,76.8,0
237.4,79.8,0
240.4,78.5,0
238.1,71.7,0
246.9,52.2,0
237.8,73,0
243.6,71.9,0
242.1,73.3,0
255.7,53.9,0
249.5,65.8,0
253.2,62.6,0
247.9,68.8,0
244.9,73.5,0
256.9,62.1,0
229.9,77,0
248.1,63.1,0
257.9,68.1,0
232.7,71.2,0
240.7,66.9,0
245.7,71.5,0
243,59.2,0
257.9,65.6,0
258.4,65.4,0
239.9,61.9,0
246.8,73.4,0
250.8,70.2,0
251.9,66.6,0
238.6,68.6,0
255.7,66.5,0
242.4,70.4,0
241.1,65.4,0
251.4,61.3,0
254.6,61.9,0
232.8,75.6,0
243,70,0
261.2,67,0
237.8,71.4,0
255.3,70.8,0
249.4,64.7,0
239.6,62.7,0
240.7,69.2,0
247.6,70.3,0
240.8,71.5,0
243,78.8,0
268.8,59.3,0
250.2,65.7,0
237.7,72,0
254.8,67.6,0
235.2,78.4,0
265.8,66.9,0
241,70.2,0
256.4,66.4,0
240.9,66.5,0
225.1,78.2,0
225.8,49.3,0
231.1,70.4,0
262.5,63.9,0
250.4,68.4,0
266.4,62,0
242.6,70,0
245.3,66.2,0
230.6,78.8,0
290.3,59.5,1
302.1,54.7,1
287.1,62.4,1
282.7,65.4,1
299.1,52.8,1
300.2,51.1,1
300.9,58.3,1
279.5,73.9,1
287.8,67.6,1
284.7,67.2,1
296.7,60,1
283.3,59.4,1
284,72.2,1
292,62.1,1
282.6,66.5,1
287.9,60.9,1
279.2,67.3,1
291.7,64.8,1
289.9,58.1,1
289.8,61.7,1
298.8,56.4,1
280.8,60.5,1
294.9,57.5,1
287.5,61.8,1
282.7,56,1
277.7,72.5,1
270.5,71.7,1
285.2,66,1
315.1,55.2,1
281.9,67.6,1
293.3,58.2,1
286,59.9,1
285.6,58.2,1
289.9,65.7,1
277.5,59,1
293.6,56.8,1
301.1,65.4,1
300.8,63.4,1
287.4,67.3,1
281.8,72.6,1
277.4,63.1,1
279.1,66.5,1
287.4,66.4,1
280.9,62.3,1
287.8,57.2,1
261.4,69.2,1
272.6,69.4,1
291.3,65.3,1
294.2,52.8,1
285.5,49,1
287.9,61.1,1
282.2,65.6,1
301.3,58.2,1
276.2,61.7,1
281.6,68.1,1
275.5,61.2,1
309.7,53.1,1
287.7,56.4,1
291.6,56.9,1
284.1,65,1
299.6,57.5,1
282.7,60,1
271.5,72,1
292.1,58.2,1
295,59.4,1
274.9,69,1
